Date,Start,_end,topic,format,speaker,Description,Title,Duration,
6/29/2023,12:00,19:00,Students arriving,,,,Students arriving -- ,,Thursday
6/29/2023,19:00,20:30,Introductions,informal discussion,,Wine and cheese,Introductions -- ,1:30,Thursday
6/30/2023,9:00,12:00,Introduction to R,lecture/lab,Sean,,Introduction to R -- Sean,3:00,Friday
6/30/2023,13:00,14:00,Probability and simulation,lecture,Vince,,Probability and simulation -- Vince,1:00,Friday
6/30/2023,14:00,17:00,EDA and visualization,lecture/lab,Vince,,EDA and visualization -- Vince,3:00,Friday
6/30/2023,19:00,21:00,Student talks,chalk talk or 3 slides,Students,5-minute lightning talks from each student,Student talks -- Students,2:00,Friday
7/1/2023,9:00,10:30,Introduction to R,lecture/lab,Sean,,Introduction to R -- Sean,1:30,Saturday
7/1/2023,10:30,12:00,"Inference, p-values, FDR",lecture,Vince,,"Inference, p-values, FDR -- Vince",1:30,Saturday
7/1/2023,13:00,15:00,t-statistic and basic power calculations,lecture/lab,Sean,,t-statistic and basic power calculations -- Sean,2:00,Saturday
7/1/2023,15:00,17:00,Overview of Bioconductor,,Vince,,Overview of Bioconductor -- Vince,2:00,Saturday
7/1/2023,19:00,21:00,Student talks,,Students,,Student talks -- Students,2:00,Saturday
7/2/2023,9:00,10:30,Public Data and Data Access,Lecture,Sean,,Public Data and Data Access -- Sean,1:30,Sunday
7/2/2023,10:30,12:00,Rmarkdown,Lecture/lab,Sean,,Rmarkdown -- Sean,1:30,Sunday
7/2/2023,13:00,14:30,Linear regression and GLMs,Lecture/lab,Vince,,Linear regression and GLMs -- Vince,1:30,Sunday
7/2/2023,14:30,17:00,Summarized Experiment,Lecture/lab,Sean,,Summarized Experiment -- Sean,2:30,Sunday
7/3/2023,9:00,11:00,SummarizedExperiment objects in the real world,Lecture/lab,"Leo, Daianna, Renee (aka, Leo's team)",,SPEAQeasy / smokingMouse introduction,2:00,Monday
7/3/2023,11:00,12:00,Interactive SummarizedExperiment visualizations,Lecture/lab,Leo,,Visualization of expression data with iSEE + mean/centering heatmaps,1:00,Monday
7/3/2023,13:00,14:00,,Lecture/lab,"Daianna (lead), Leo (support)",,Overview of smokingMouse plots + hands-on exercise overvview,1:00,Monday
7/3/2023,14:00,17:00,,lab,NA (Leo's team),,Hands-on exercise to reproduce smokingMouse plots with iSEE & R,3:00,Monday
7/3/2023,19:00,20:00,biocthis: making your R/Bioconductor package,demo,Leo,,Introduction to making R/Bioconductor packages with biocthis,1:00,Monday
